Name|Projected K%
Joey Gallo|0.39
Nick Pratto|0.36
Ryan Noda|0.336
Jose Siri|0.335
Elehuris Montero|0.331
Patrick Wisdom|0.328
Brenton Doyle|0.323
Blake Sabol|0.319
Mickey Moniak|0.318
Brandon Belt|0.318
Brent Rooker|0.315
Martin Maldonado|0.315
Gabriel Arias|0.311
Chris Taylor|0.308
Michael A. Taylor|0.308
James Outman|0.307
Luke Raley|0.307
Jake Rogers|0.306
Nolan Gorman|0.301
Connor Wong|0.301
Jack Suwinski|0.301
Christopher Morel|0.301
Jazz Chisholm Jr.|0.301
Elly De La Cruz|0.298
Jarred Kelenic|0.296
Will Benson|0.296
Edouard Julien|0.296
Teoscar Hernandez|0.295
J.D. Martinez|0.294
Eugenio Suarez|0.293
Ryan McMahon|0.293
Drew Waters|0.292
Paul DeJong|0.291
Giancarlo Stanton|0.29
Byron Buxton|0.29
Kyle Schwarber|0.289
Aaron Judge|0.289
Adam Duvall|0.284
Brian Anderson|0.283
Nolan Jones|0.281
Shea Langeliers|0.281
Yoan Moncada|0.28
Brandon Marsh|0.279
Joey Wiemer|0.277
MJ Melendez|0.275
Brett Baty|0.273
Luis Robert|0.273
J.D. Davis|0.273
Ramon Laureano|0.272
Matt Chapman|0.27
Nick Castellanos|0.27
Jake Burger|0.27
Zack Gelof|0.269
Josh Jung|0.268
Matt McLain|0.268
Matt Thaiss|0.267
Garrett Cooper|0.267
Christian Bethancourt|0.267
Mike Trout|0.265
Brandon Lowe|0.265
Adolis Garcia|0.264
Trent Grisham|0.263
Patrick Bailey|0.262
Anthony Volpe|0.262
Seth Brown|0.262
Cal Raleigh|0.262
Max Muncy|0.261
Ryan Jeffers|0.261
Riley Greene|0.258
Francisco Alvarez|0.257
Cavan Biggio|0.256
Tyler Stephenson|0.255
Taylor Walls|0.254
Ezequiel Tovar|0.253
Ezequiel Duran|0.252
Brandon Drury|0.252
Jesus Sanchez|0.252
Brandon Crawford|0.251
Jake Meyers|0.251
Willy Adames|0.25
Chas McCormick|0.247
Ramon Urias|0.246
Austin Hays|0.245
Gunnar Henderson|0.244
Mike Yastrzemski|0.242
Shohei Ohtani|0.242
Triston Casas|0.242
Zach Neto|0.241
J.T. Realmuto|0.24
Josh Lowe|0.24
Randy Arozarena|0.24
Eduardo Escobar|0.24
Jorge Polanco|0.24
Alex Kirilloff|0.239
Mike Moustakas|0.238
Akil Baddoo|0.238
J.J. Bleday|0.238
Daniel Vogelbach|0.238
Dansby Swanson|0.238
Lane Thomas|0.238
Spencer Torkelson|0.237
Julio Rodriguez|0.237
Austin Riley|0.237
Jorge Soler|0.236
Willi Castro|0.235
Jace Peterson|0.235
Kerry Carpenter|0.234
Javier Baez|0.234
Jorge Mateo|0.234
Ji Hwan Bae|0.234
Edmundo Sosa|0.234
Rowdy Tellez|0.232
Jarren Duran|0.232
Connor Joe|0.23
Eddie Rosario|0.23
Paul Goldschmidt|0.23
Mitch Garver|0.23
Jordan Walker|0.229
Willson Contreras|0.228
Bryce Harper|0.227
Salvador Perez|0.227
Kevin Kiermaier|0.226
Andrew McCutchen|0.226
Bryan De La Cruz|0.226
Corey Julks|0.226
Tommy Pham|0.225
Fernando Tatis Jr.|0.225
Matt Olson|0.225
Marcell Ozuna|0.225
Pete Alonso|0.225
Josh Rojas|0.224
Christian Vazquez|0.224
Tim Anderson|0.223
Bryan Reynolds|0.223
Christian Yelich|0.223
Trea Turner|0.223
Anthony Rizzo|0.223
Robbie Grossman|0.223
Carlos Correa|0.222
Aaron Hicks|0.222
Sean Murphy|0.222
Hunter Renfroe|0.222
Daulton Varsho|0.221
Michael Conforto|0.221
Donovan Solano|0.22
Ryan Mountcastle|0.22
Elias Diaz|0.22
Ian Happ|0.22
Kyle Farmer|0.219
William Contreras|0.218
Jose Abreu|0.217
Alek Thomas|0.217
Anthony Santander|0.216
Cedric Mullins II|0.216
Seiya Suzuki|0.215
Yasmani Grandal|0.214
Josh Bell|0.213
Nathaniel Lowe|0.213
Jeimer Candelario|0.213
Randal Grichuk|0.212
Brandon Nimmo|0.212
Oswaldo Cabrera|0.212
DJ LeMahieu|0.212
Jonathan India|0.212
Mike Tauchman|0.212
Jeremy Pena|0.212
Joey Wendle|0.211
Leody Taveras|0.211
Maikel Garcia|0.211
Nick Senzel|0.211
Thairo Estrada|0.211
Andruw Monasterio|0.21
Spencer Steer|0.21
Ryan O'Hearn|0.209
Starling Marte|0.208
Andrew Vaughn|0.208
Joc Pederson|0.207
Kris Bryant|0.207
Max Kepler|0.206
Miguel Cabrera|0.206
Zach McKinstry|0.206
Michael Massey|0.205
Christian Walker|0.205
Esteury Ruiz|0.205
Eloy Jimenez|0.205
Danny Jansen|0.202
Orlando Arcia|0.201
Miguel Vargas|0.201
Joey Meneses|0.2
Yainer Diaz|0.199
Enrique Hernandez|0.199
Brice Turang|0.198
Gabriel Moreno|0.198
Francisco Lindor|0.198
Matt Vierling|0.198
Jake McCarthy|0.196
Lars Nootbaar|0.196
LaMonte Wade Jr.|0.196
Harold Ramirez|0.196
Ke'Bryan Hayes|0.196
Yan Gomes|0.195
Isiah Kiner-Falefa|0.195
Taylor Ward|0.195
J.P. Crawford|0.194
Corbin Carroll|0.193
Jake Fraley|0.193
Rafael Devers|0.193
Luis Rengifo|0.193
Aledmys Diaz|0.192
Jonah Heim|0.192
Manny Machado|0.191
Michael Harris II|0.191
Ha-seong Kim|0.191
Kyle Isbel|0.191
George Springer|0.19
Yordan Alvarez|0.19
Gavin Sheets|0.189
Juan Soto|0.189
Andres Gimenez|0.189
CJ Abrams|0.188
Harrison Bader|0.187
Jon Berti|0.187
Owen Miller|0.187
Andy Ibanez|0.185
Amed Rosario|0.185
Alex Call|0.184
Bo Bichette|0.182
Ty France|0.181
Bobby Witt Jr.|0.181
Elvis Andrus|0.181
Corey Seager|0.181
Manuel Margot|0.181
Edward Olivares|0.18
David Peralta|0.179
Jurickson Profar|0.179
Xander Bogaerts|0.179
Carlos Santana|0.179
Isaac Paredes|0.178
Jason Heyward|0.177
Ketel Marte|0.177
Nick Fortes|0.176
Jake Cronenworth|0.175
Geraldo Perdomo|0.174
Justin Turner|0.174
Jose Altuve|0.173
Lourdes Gurriel Jr.|0.173
T.J. Friedl|0.172
Whit Merrifield|0.172
Nolan Arenado|0.171
Myles Straw|0.171
Mookie Betts|0.17
Freddie Freeman|0.17
Yandy Diaz|0.169
Mark Canha|0.168
Nick Allen|0.167
Cody Bellinger|0.166
Vladimir Guerrero Jr.|0.166
Adam Frazier|0.165
Dominic Smith|0.164
Alex Verdugo|0.164
Ozzie Albies|0.164
Will Smith|0.164
Gleyber Torres|0.163
Tommy Edman|0.163
Marcus Semien|0.159
Masataka Yoshida|0.157
Alec Bohm|0.157
Bryson Stott|0.157
Jean Segura|0.156
Andrew Benintendi|0.154
Adley Rutschman|0.152
Kyle Tucker|0.151
Charlie Blackmon|0.149
Wilmer Flores|0.148
Brendan Donovan|0.147
Josh Naylor|0.145
Mauricio Dubon|0.145
Wander Franco|0.145
Yuli Gurriel|0.144
Alec Burleson|0.14
Will Brennan|0.137
Alex Bregman|0.136
Ronald Acuna Jr.|0.136
Luis Garcia|0.134
Miguel Rojas|0.131
Nico Hoerner|0.129
Jose Ramirez|0.125
Alejandro Kirk|0.123
Steven Kwan|0.119
Keibert Ruiz|0.119
Tony Kemp|0.117
Jeff McNeil|0.114
Luis Arraez|0.071
