"Name","Projected BB%"
"Aaron Judge","0.169"
"Kyle Schwarber","0.157"
"Juan Soto","0.154"
"Edouard Julien","0.14"
"Brandon Belt","0.139"
"Max Muncy","0.139"
"Joey Gallo","0.138"
"Shohei Ohtani","0.136"
"Ryan Noda","0.136"
"Andrew McCutchen","0.135"
"Yordan Alvarez","0.131"
"Mookie Betts","0.131"
"Matt Olson","0.131"
"Jack Suwinski","0.13"
"J.P. Crawford","0.129"
"LaMonte Wade Jr.","0.127"
"Daniel Vogelbach","0.127"
"Lars Nootbaar","0.127"
"Mitch Garver","0.124"
"Nolan Jones","0.123"
"Triston Casas","0.123"
"Joc Pederson","0.122"
"Ian Happ","0.121"
"Bryce Harper","0.121"
"Trent Grisham","0.121"
"Mike Trout","0.121"
"J.J. Bleday","0.121"
"Adley Rutschman","0.121"
"Robbie Grossman","0.12"
"Mike Tauchman","0.119"
"Brandon Marsh","0.119"
"Paul Goldschmidt","0.116"
"Mike Yastrzemski","0.115"
"Aaron Hicks","0.115"
"Jorge Soler","0.114"
"James Outman","0.114"
"Alex Bregman","0.113"
"Cavan Biggio","0.113"
"Ha-seong Kim","0.112"
"Nolan Gorman","0.112"
"Randy Arozarena","0.112"
"Geraldo Perdomo","0.112"
"Sean Murphy","0.111"
"Christian Yelich","0.111"
"Will Benson","0.11"
"Nathaniel Lowe","0.11"
"Kyle Tucker","0.109"
"Miguel Vargas","0.108"
"Ronald Acuna Jr.","0.107"
"Taylor Walls","0.107"
"Brandon Nimmo","0.107"
"Pete Alonso","0.106"
"Alex Call","0.106"
"Patrick Wisdom","0.105"
"Adolis Garcia","0.105"
"Giancarlo Stanton","0.105"
"DJ LeMahieu","0.105"
"Matt Thaiss","0.105"
"Will Smith","0.105"
"Marcell Ozuna","0.104"
"Matt Chapman","0.104"
"Chris Taylor","0.104"
"Brandon Lowe","0.104"
"Ryan Jeffers","0.103"
"MJ Melendez","0.103"
"Spencer Torkelson","0.103"
"Connor Joe","0.103"
"Akil Baddoo","0.103"
"Ryan McMahon","0.103"
"Seiya Suzuki","0.102"
"Jose Ramirez","0.102"
"Rowdy Tellez","0.102"
"Jonathan India","0.102"
"Isaac Paredes","0.102"
"Ketel Marte","0.102"
"Yandy Diaz","0.102"
"Byron Buxton","0.102"
"Eugenio Suarez","0.102"
"Willy Adames","0.101"
"Jorge Polanco","0.101"
"Carlos Correa","0.101"
"Spencer Steer","0.101"
"Jace Peterson","0.1"
"Jose Altuve","0.1"
"Tommy Pham","0.1"
"Michael Conforto","0.1"
"Jarred Kelenic","0.099"
"Carlos Santana","0.099"
"Willson Contreras","0.098"
"Josh Bell","0.098"
"Cal Raleigh","0.098"
"Brent Rooker","0.098"
"Jesus Sanchez","0.097"
"Francisco Lindor","0.097"
"William Contreras","0.097"
"Dansby Swanson","0.097"
"Gunnar Henderson","0.096"
"Freddie Freeman","0.096"
"Taylor Ward","0.096"
"Jeimer Candelario","0.095"
"Mark Canha","0.095"
"Christopher Morel","0.095"
"Max Kepler","0.095"
"Brendan Donovan","0.094"
"Marcus Semien","0.094"
"Wilmer Flores","0.094"
"Tyler Stephenson","0.093"
"Christian Walker","0.093"
"Alex Kirilloff","0.093"
"Corbin Carroll","0.093"
"Gleyber Torres","0.093"
"Rafael Devers","0.093"
"Vladimir Guerrero Jr.","0.093"
"Riley Greene","0.093"
"Nick Pratto","0.092"
"Tony Kemp","0.092"
"Corey Seager","0.092"
"Chas McCormick","0.092"
"Jake Rogers","0.091"
"Jason Heyward","0.091"
"Alejandro Kirk","0.091"
"Anthony Volpe","0.091"
"Zack Gelof","0.091"
"Cedric Mullins II","0.09"
"Austin Riley","0.09"
"Wander Franco","0.09"
"Andruw Monasterio","0.09"
"Charlie Blackmon","0.089"
"J.D. Davis","0.089"
"Yasmani Grandal","0.089"
"Jake Fraley","0.089"
"Bryan Reynolds","0.089"
"Joey Wiemer","0.089"
"Anthony Santander","0.089"
"Xander Bogaerts","0.089"
"Elly De La Cruz","0.089"
"Steven Kwan","0.089"
"Matt Vierling","0.088"
"Justin Turner","0.088"
"Brian Anderson","0.088"
"Danny Jansen","0.088"
"T.J. Friedl","0.087"
"Anthony Rizzo","0.087"
"Jurickson Profar","0.087"
"Luis Rengifo","0.087"
"Matt McLain","0.087"
"Adam Duvall","0.087"
"Donovan Solano","0.086"
"Ramon Laureano","0.086"
"Kris Bryant","0.086"
"Jake Cronenworth","0.086"
"J.D. Martinez","0.086"
"Francisco Alvarez","0.086"
"Zach McKinstry","0.085"
"Seth Brown","0.085"
"Drew Waters","0.085"
"Alex Verdugo","0.085"
"Jonah Heim","0.084"
"Manny Machado","0.084"
"Daulton Varsho","0.084"
"George Springer","0.083"
"Jazz Chisholm Jr.","0.083"
"Gabriel Moreno","0.083"
"Brandon Crawford","0.083"
"Brett Baty","0.083"
"Martin Maldonado","0.083"
"Willi Castro","0.083"
"Hunter Renfroe","0.082"
"Gavin Sheets","0.081"
"Josh Rojas","0.081"
"Luke Raley","0.081"
"Jordan Walker","0.081"
"Shea Langeliers","0.08"
"Isiah Kiner-Falefa","0.08"
"Nick Senzel","0.08"
"Kerry Carpenter","0.08"
"Fernando Tatis Jr.","0.08"
"Miguel Cabrera","0.079"
"Ozzie Albies","0.079"
"Ryan Mountcastle","0.079"
"Nolan Arenado","0.079"
"Maikel Garcia","0.079"
"Austin Hays","0.078"
"Orlando Arcia","0.078"
"Yuli Gurriel","0.078"
"Cody Bellinger","0.078"
"J.T. Realmuto","0.078"
"Patrick Bailey","0.078"
"Jake Meyers","0.077"
"Dominic Smith","0.077"
"Jake Burger","0.077"
"Lane Thomas","0.077"
"Andrew Benintendi","0.077"
"Gabriel Arias","0.077"
"Michael A. Taylor","0.077"
"Jose Siri","0.076"
"Myles Straw","0.076"
"Adam Frazier","0.076"
"Corey Julks","0.076"
"Randal Grichuk","0.076"
"Brice Turang","0.076"
"Julio Rodriguez","0.076"
"Zach Neto","0.076"
"Blake Sabol","0.076"
"Jose Abreu","0.076"
"Oswaldo Cabrera","0.075"
"Garrett Cooper","0.075"
"Tommy Edman","0.075"
"Ji Hwan Bae","0.075"
"Yoan Moncada","0.075"
"Jake McCarthy","0.075"
"Bryson Stott","0.075"
"Bryan De La Cruz","0.074"
"Kyle Farmer","0.074"
"Bobby Witt Jr.","0.074"
"Masataka Yoshida","0.073"
"Jarren Duran","0.073"
"Alec Bohm","0.073"
"Andrew Vaughn","0.073"
"Alec Burleson","0.072"
"Josh Jung","0.072"
"Eddie Rosario","0.072"
"Ke'Bryan Hayes","0.072"
"Nico Hoerner","0.072"
"Kevin Kiermaier","0.072"
"Ramon Urias","0.072"
"Jorge Mateo","0.072"
"Enrique Hernandez","0.071"
"Elvis Andrus","0.071"
"Lourdes Gurriel Jr.","0.071"
"Teoscar Hernandez","0.07"
"Joey Meneses","0.07"
"Josh Lowe","0.07"
"Edward Olivares","0.07"
"Michael Massey","0.07"
"Jon Berti","0.07"
"Christian Vazquez","0.07"
"Trea Turner","0.07"
"Leody Taveras","0.069"
"Kyle Isbel","0.069"
"Connor Wong","0.069"
"Jeremy Pena","0.069"
"Ty France","0.069"
"Eduardo Escobar","0.068"
"Andy Ibanez","0.068"
"Josh Naylor","0.068"
"Mike Moustakas","0.068"
"Nick Castellanos","0.068"
"Paul DeJong","0.068"
"Luis Robert","0.068"
"Brandon Drury","0.067"
"Keibert Ruiz","0.066"
"Elias Diaz","0.066"
"Luis Arraez","0.065"
"Michael Harris II","0.065"
"Manuel Margot","0.065"
"Eloy Jimenez","0.065"
"Ezequiel Duran","0.064"
"Elehuris Montero","0.064"
"Brenton Doyle","0.064"
"Nick Fortes","0.064"
"Jean Segura","0.063"
"Miguel Rojas","0.063"
"Whit Merrifield","0.062"
"Ryan O'Hearn","0.062"
"Alek Thomas","0.062"
"Owen Miller","0.062"
"Harrison Bader","0.061"
"Andres Gimenez","0.06"
"Yan Gomes","0.06"
"Thairo Estrada","0.06"
"Luis Garcia","0.06"
"Jeff McNeil","0.059"
"Bo Bichette","0.059"
"David Peralta","0.059"
"Starling Marte","0.059"
"CJ Abrams","0.058"
"Aledmys Diaz","0.057"
"Amed Rosario","0.057"
"Joey Wendle","0.056"
"Harold Ramirez","0.056"
"Tim Anderson","0.054"
"Javier Baez","0.054"
"Mickey Moniak","0.054"
"Salvador Perez","0.053"
"Yainer Diaz","0.052"
"Nick Allen","0.052"
"Ezequiel Tovar","0.052"
"Christian Bethancourt","0.051"
"Esteury Ruiz","0.049"
"Edmundo Sosa","0.048"
"Mauricio Dubon","0.046"
"Will Brennan","0.043"
